organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,124738,Gilles LEBRETON,Substitute,2020-09-14,2022-03-23
Committee on Constitutional Affairs,AFCO,Committee,124738,Gilles LEBRETON,Substitute,2022-01-20,
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,124738,Gilles LEBRETON,Substitute,2022-03-24,2023-08-12
Committee on Transport and Tourism,TRAN,Committee,197686,Julie LECHANTEUX,Member,2019-07-02,2022-01-19
Delegation to the EU-Montenegro Stabilisation and Association Parliamentary Committee,D-ME,Delegation,197686,Julie LECHANTEUX,Member,2019-09-16,2019-09-17
Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee,D-RS,Delegation,197686,Julie LECHANTEUX,Member,2019-09-18,2022-07-03
Committee on Transport and Tourism,TRAN,Committee,197686,Julie LECHANTEUX,Member,2022-01-20,2022-06-21
Committee on Agriculture and Rural Development,AGRI,Committee,197686,Julie LECHANTEUX,Member,2022-03-07,2022-07-28
"Delegation for Relations with Bosnia and Herzegovina, and Kosovo",DSEE,Delegation,197686,Julie LECHANTEUX,Substitute,2019-07-02,2019-07-28
Committee on Employment and Social Affairs,EMPL,Committee,197686,Julie LECHANTEUX,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee,D-RS,Delegation,197686,Julie LECHANTEUX,Substitute,2019-07-29,2019-09-17
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,197686,Julie LECHANTEUX,Substitute,2020-06-19,2021-12-19
Committee on Employment and Social Affairs,EMPL,Committee,197686,Julie LECHANTEUX,Substitute,2022-01-20,2022-06-05
Committee on Foreign Affairs,AFET,Committee,197393,David LEGA,Member,2019-07-02,2022-01-19
Subcommittee on Human Rights,DROI,Subcommittee,197393,David LEGA,Member,2019-07-02,2022-01-19
Delegation to the EU-Russia Parliamentary Cooperation Committee,D-RU,Delegation,197393,David LEGA,Member,2019-07-02,
Committee on Foreign Affairs,AFET,Committee,197393,David LEGA,Member,2022-01-20,
Subcommittee on Human Rights,DROI,Subcommittee,197393,David LEGA,Member,2022-01-20,
Committee on Budgetary Control,CONT,Committee,197393,David LEGA,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197393,David LEGA,Substitute,2019-07-02,
Delegation to the EU-Ukraine Parliamentary Association Committee,D-UA,Delegation,197393,David LEGA,Substitute,2020-02-12,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,197393,David LEGA,Substitute,2020-03-09,
Committee on Budgetary Control,CONT,Committee,197393,David LEGA,Substitute,2022-01-20,
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,197393,David LEGA,Substitute,2022-03-24,2023-08-12
Delegation to the EU-Chile Joint Parliamentary Committee,D-CL,Delegation,96796,Ryszard Antoni LEGUTKO,Vice-Chair,2019-10-09,
Committee on Constitutional Affairs,AFCO,Committee,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,2019-07-15
Delegation to the EU-Chile Joint Parliamentary Committee,D-CL,Delegation,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,2019-10-08
Committee on Economic and Monetary Affairs,ECON,Committee,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,2020-05-13
Delegation for Relations with Afghanistan,D-AF,Delegation,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,2021-11-09
Committee on Budgetary Control,CONT,Committee,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,2022-01-19
Committee on Culture and Education,CULT,Committee,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,2022-01-19
Conference of Presidents,COP,Political Body,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,96796,Ryszard Antoni LEGUTKO,Member,2019-07-02,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,96796,Ryszard Antoni LEGUTKO,Member,2020-02-10,2021-07-04
Delegation for Relations with South Africa,D-ZA,Delegation,96796,Ryszard Antoni LEGUTKO,Member,2020-02-12,2021-09-12
Committee on Budgetary Control,CONT,Committee,96796,Ryszard Antoni LEGUTKO,Member,2022-01-20,2023-04-18
Committee on Culture and Education,CULT,Committee,96796,Ryszard Antoni LEGUTKO,Member,2022-01-20,
Delegation for Relations with Canada,D-CA,Delegation,96796,Ryszard Antoni LEGUTKO,Member,2022-02-17,2022-02-28
Delegation for Relations with Australia and New Zealand,DANZ,Delegation,96796,Ryszard Antoni LEGUTKO,Member,2022-10-03,
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,96796,Ryszard Antoni LEGUTKO,Substitute,2019-07-02,2022-07-10
Committee on Constitutional Affairs,AFCO,Committee,96796,Ryszard Antoni LEGUTKO,Substitute,2019-07-16,2019-12-08
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,96796,Ryszard Antoni LEGUTKO,Substitute,2022-08-31,2022-10-11
Committee on Budgetary Control,CONT,Committee,96796,Ryszard Antoni LEGUTKO,Substitute,2023-04-19,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Vice-Chair,2019-07-10,2022-01-19
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Vice-Chair,2022-01-20,
Committee on the Internal Market and Consumer Protection,IMCO,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Member,2019-07-02,2019-07-09
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197635,Maria-Manuel LEITÃO-MARQUES,Member,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,197635,Maria-Manuel LEITÃO-MARQUES,Member,2019-07-02,
Committee on Legal Affairs,JURI,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Member,2022-02-14,
"Committee on Industry, Research and Energy",ITRE,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Mexico Joint Parliamentary Committee,D-MX,Delegation,197635,Maria-Manuel LEITÃO-MARQUES,Substitute,2019-07-02,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Substitute,2019-07-05,2022-01-19
Special Committee on Artificial Intelligence in a Digital Age,AIDA,Special Committee,197635,Maria-Manuel LEITÃO-MARQUES,Substitute,2020-09-14,2022-03-23
"Committee on Industry, Research and Energy",ITRE,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Substitute,2022-01-20,2022-02-01
Committee on Women’s Rights and Gender Equality,FEMM,Committee,197635,Maria-Manuel LEITÃO-MARQUES,Substitute,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,95074,Jeroen LENAERS,Chair,2022-04-19,2023-07-18
Delegation for Relations with the Mashreq countries,DMAS,Delegation,95074,Jeroen LENAERS,Vice-Chair,2019-09-26,
Delegation for Relations with the Mashreq countries,DMAS,Delegation,95074,Jeroen LENAERS,Member,2019-07-02,2019-09-25
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,95074,Jeroen LENAERS,Member,2019-07-02,2022-01-19
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,95074,Jeroen LENAERS,Member,2019-07-02,
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,95074,Jeroen LENAERS,Member,2020-09-14,2022-03-23
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,95074,Jeroen LENAERS,Member,2021-10-18,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,95074,Jeroen LENAERS,Member,2022-01-20,
Committee of Inquiry to Investigate the Use of Pegasus and Equivalent Surveillance Spyware,PEGA,Special Committee,95074,Jeroen LENAERS,Member,2022-03-24,2022-04-18
Conference of Committee Chairs,CCC,Political Body,95074,Jeroen LENAERS,Member,2022-04-19,2023-07-18
Committee on Budgetary Control,CONT,Committee,95074,Jeroen LENAERS,Substitute,2019-07-02,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,95074,Jeroen LENAERS,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,95074,Jeroen LENAERS,Substitute,2019-07-02,
Committee on Budgets,BUDG,Committee,95074,Jeroen LENAERS,Substitute,2020-02-11,2022-01-19
Committee on Budgets,BUDG,Committee,95074,Jeroen LENAERS,Substitute,2022-01-20,
Committee on Budgetary Control,CONT,Committee,95074,Jeroen LENAERS,Substitute,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,95074,Jeroen LENAERS,Substitute,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,95074,Jeroen LENAERS,Substitute,2022-03-24,2023-07-18
Committee on Budgets,BUDG,Committee,23781,Janusz LEWANDOWSKI,Vice-Chair,2019-07-10,2022-01-19
Committee on Budgets,BUDG,Committee,23781,Janusz LEWANDOWSKI,Vice-Chair,2022-01-20,
Committee on Budgets,BUDG,Committee,23781,Janusz LEWANDOWSKI,Member,2019-07-02,2019-07-09
Delegation for Relations With the Countries of Southeast Asia and the Association of Southeast Asian Nations,DASE,Delegation,23781,Janusz LEWANDOWSKI,Member,2019-07-02,
"Special Committee on Foreign Interference in All Democratic Processes in the European Union, Including Disinformation, and the Strengthening of Integrity, Transparency and Accountability in the European Parliament",ING2,Special Committee,23781,Janusz LEWANDOWSKI,Member,2022-03-24,2023-08-12
Committee on Economic and Monetary Affairs,ECON,Committee,23781,Janusz LEWANDOWSKI,Substitute,2019-07-02,2022-01-19
"Committee on Industry, Research and Energy",ITRE,Committee,23781,Janusz LEWANDOWSKI,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,23781,Janusz LEWANDOWSKI,Substitute,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,23781,Janusz LEWANDOWSKI,Substitute,2019-07-02,
Committee on Economic and Monetary Affairs,ECON,Committee,23781,Janusz LEWANDOWSKI,Substitute,2022-01-20,
"Committee on Industry, Research and Energy",ITRE,Committee,23781,Janusz LEWANDOWSKI,Substitute,2022-01-20,
Committee on Foreign Affairs,AFET,Committee,204336,Miriam LEXMANN,Member,2020-02-10,2022-01-19
Committee on Employment and Social Affairs,EMPL,Committee,204336,Miriam LEXMANN,Member,2020-02-10,2022-01-19
Delegation for Relations with Belarus,D-BY,Delegation,204336,Miriam LEXMANN,Member,2020-02-12,
Delegation to the Euronest Parliamentary Assembly,DEPA,Delegation,204336,Miriam LEXMANN,Member,2020-02-12,
Committee on Foreign Affairs,AFET,Committee,204336,Miriam LEXMANN,Member,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,204336,Miriam LEXMANN,Member,2022-01-20,
Subcommittee on Security and Defence,SEDE,Subcommittee,204336,Miriam LEXMANN,Substitute,2020-02-10,2022-01-19
Subcommittee on Security and Defence,SEDE,Subcommittee,204336,Miriam LEXMANN,Substitute,2022-01-20,
Committee on Transport and Tourism,TRAN,Committee,23768,Bogusław LIBERADZKI,Member,2019-07-02,2022-01-19
Delegation for Relations with the United States,D-US,Delegation,23768,Bogusław LIBERADZKI,Member,2019-07-02,
Committee on Transport and Tourism,TRAN,Committee,23768,Bogusław LIBERADZKI,Member,2022-01-20,
Committee on Budgetary Control,CONT,Committee,23768,Bogusław LIBERADZKI,Substitute,2019-07-02,2022-01-19
Delegation for Relations with Israel,D-IL,Delegation,23768,Bogusław LIBERADZKI,Substitute,2019-07-02,
Committee on Budgetary Control,CONT,Committee,23768,Bogusław LIBERADZKI,Substitute,2022-01-20,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,1927,Peter LIESE,Member,2019-07-02,2022-01-19
Delegation for Relations with the Countries of Central America,DCAM,Delegation,1927,Peter LIESE,Member,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,1927,Peter LIESE,Member,2019-07-02,
Special Committee on Beating Cancer,BECA,Special Committee,1927,Peter LIESE,Member,2020-09-14,2022-03-23
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,1927,Peter LIESE,Member,2022-01-20,
Subcommittee on Public Health,SANT,Subcommittee,1927,Peter LIESE,Member,2023-03-15,
Committee on Budgets,BUDG,Committee,1927,Peter LIESE,Substitute,2019-07-02,2022-01-19
Delegation for Relations with the Countries of the Andean Community,DAND,Delegation,1927,Peter LIESE,Substitute,2019-07-02,
Committee on Budgets,BUDG,Committee,1927,Peter LIESE,Substitute,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,1927,Peter LIESE,Substitute,2022-03-24,2023-07-18
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197483,Sylvia LIMMER,Member,2019-07-02,2022-01-19
Delegation for Relations with Israel,D-IL,Delegation,197483,Sylvia LIMMER,Member,2019-07-02,
Delegation for Relations with the People's Republic of China,D-CN,Delegation,197483,Sylvia LIMMER,Member,2019-07-02,
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,197483,Sylvia LIMMER,Member,2020-06-19,2021-12-19
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,197483,Sylvia LIMMER,Member,2022-01-20,
Special Committee on the COVID-19 Pandemic Lessons Learned and Recommendations for the Future,COVI,Special Committee,197483,Sylvia LIMMER,Member,2022-03-24,2023-07-18
Subcommittee on Public Health,SANT,Subcommittee,197483,Sylvia LIMMER,Member,2023-03-15,
"Committee on Industry, Research and Energy",ITRE,Committee,197483,Sylvia LIMMER,Substitute,2019-07-02,2022-01-19
Committee on Agriculture and Rural Development,AGRI,Committee,197483,Sylvia LIMMER,Substitute,2019-07-02,2022-01-19
"Committee on Industry, Research and Energy",ITRE,Committee,197483,Sylvia LIMMER,Substitute,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,197483,Sylvia LIMMER,Substitute,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,124808,Norbert LINS,Chair,2019-07-10,2022-01-19
Committee on Agriculture and Rural Development,AGRI,Committee,124808,Norbert LINS,Chair,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,124808,Norbert LINS,Member,2019-07-02,2019-07-09
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,124808,Norbert LINS,Member,2019-07-02,
Conference of Committee Chairs,CCC,Political Body,124808,Norbert LINS,Member,2019-07-10,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124808,Norbert LINS,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Mexico Joint Parliamentary Committee,D-MX,Delegation,124808,Norbert LINS,Substitute,2019-07-02,
Delegation to the Euro-Latin American Parliamentary Assembly,DLAT,Delegation,124808,Norbert LINS,Substitute,2019-07-02,
"Committee on the Environment, Public Health and Food Safety",ENVI,Committee,124808,Norbert LINS,Substitute,2022-01-20,
Committee on Employment and Social Affairs,EMPL,Committee,197611,Elena LIZZI,Member,2019-07-02,2022-01-19
Delegation for Relations with the Mashreq countries,DMAS,Delegation,197611,Elena LIZZI,Member,2019-09-16,
Committee on Employment and Social Affairs,EMPL,Committee,197611,Elena LIZZI,Member,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,197611,Elena LIZZI,Member,2022-10-17,
"Committee on Industry, Research and Energy",ITRE,Committee,197611,Elena LIZZI,Substitute,2019-07-02,2022-01-19
Delegation for Northern Cooperation and for Relations with Switzerland and Norway and to the EU-Iceland Joint Parliamentary Committee and the European Economic Area Joint Parliamentary Committee,DEEA,Delegation,197611,Elena LIZZI,Substitute,2019-07-02,
Committee on Agriculture and Rural Development,AGRI,Committee,197611,Elena LIZZI,Substitute,2020-02-10,2022-01-19
Committee on Agriculture and Rural Development,AGRI,Committee,197611,Elena LIZZI,Substitute,2022-01-20,2022-10-16
"Committee on Industry, Research and Energy",ITRE,Committee,197611,Elena LIZZI,Substitute,2022-01-20,
Committee on Regional Development,REGI,Committee,197611,Elena LIZZI,Substitute,2022-02-15,
Subcommittee on Security and Defence,SEDE,Subcommittee,197494,Nathalie LOISEAU,Chair,2019-07-10,2022-01-19
Delegation to the EU-UK Parliamentary Partnership Assembly,D-UK,Delegation,197494,Nathalie LOISEAU,Chair,2021-12-09,
Subcommittee on Security and Defence,SEDE,Subcommittee,197494,Nathalie LOISEAU,Chair,2022-01-20,
Delegation for Relations with the NATO Parliamentary Assembly,DNAT,Delegation,197494,Nathalie LOISEAU,Vice-Chair,2019-09-26,
Subcommittee on Security and Defence,SEDE,Subcommittee,197494,Nathalie LOISEAU,Member,2019-07-02,2019-07-09
Delegation for Relations with the NATO Parliamentary Assembly,DNAT,Delegation,197494,Nathalie LOISEAU,Member,2019-07-02,2019-09-25
Committee on Foreign Affairs,AFET,Committee,197494,Nathalie LOISEAU,Member,2019-07-02,2022-01-19
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,197494,Nathalie LOISEAU,Member,2019-07-02,2022-03-08
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,197494,Nathalie LOISEAU,Member,2019-07-02,
